"germplasmName","FullSampleName","GID"
"IITA-TMS-IBA010090","TMS010090:250107946","TMS010090:250107946"
"TMS050540","TMS050540:250107961","TMS050540:250107961"
"IITA-TMS-IBA051625","I051625:250300211","I051625:250300211"
"IITA-TMS-IBA051658","I051658:250300195","I051658:250300195"
"IITA-TMS-IBA070614","I070614:250300187","I070614:250300187"
"IITA-TMS-IBA070632","I070632:250300155","I070632:250300155"
"COB1139","COB1139:250107922","COB1139:250107922"
"COB477","COB477:250107933","COB477:250107933"
"COB5104","COB5104:250107932","COB5104:250107932"
"COB536","COB536:250134468","COB536:250134468"
"COB586",NA,"COB586"
"AR945","AR945:250107873","AR945:250107873"
"COB61","COB61:250108001","COB61:250108001"
"CR52A37","CR52A37:250134452","CR52A37:250134452"
"NR060153",NA,"NR060153"
"NR090190",NA,"NR090190"
"NR100017","NR100017:250134705","NR100017:250134705"
"NR100069","NR100069:250134591","NR100069:250134591"
"NR100168","NR100168:250163985","NR100168:250163985"
"NR100224","NR100224:250164012","NR100224:250164012"
"NR100268","NR100268:250134734","NR100268:250134734"
"NR100273","NR100273:250164007","NR100273:250164007"
"COB427","COB427:250107965","COB427:250107965"
"NR100324","NR100324:250134773","NR100324:250134773"
"NR100327","NR100327:250134770","NR100327:250134770"
"NR100411","NR100411:250399922","NR100411:250399922"
"NR100412","NR100412:250134615","NR100412:250134615"
"NR1S1048","NR1S1048:250134775","NR1S1048:250134775"
"NR1S1070","NR1S1070:250134631","NR1S1070:250134631"
"NR1S1206","NR1S1206:250134639","NR1S1206:250134639"
"TMEB419","TMEB419:250253865","TMEB419:250253865"
"TMS000354","TMS000354:250134451","TMS000354:250134451"
"COB528","COB528:250107939","COB528:250107939"
"IITA-TMS-IBA051631","I051631:250300199","I051631:250300199"
"IITA-TMS-IBA051654","I051654:250300194","I051654:250300194"
"IITA-TMS-IBA051740","I051740:250300206","I051740:250300206"
"TMS070099","TMS070099:250134609","TMS070099:250134609"
"TMS070489","TMS070489:250107955","TMS070489:250107955"
"COB4100","COB4100:250107907","COB4100:250107907"
"NR100023","NR100023:250134783","NR100023:250134783"
"NR100196","NR100196:250134725","NR100196:250134725"
"NR100226","NR100226:250134709","NR100226:250134709"
"NR100435","NR100435:250163984","NR100435:250163984"
"NR100451","NR100451:250163999","NR100451:250163999"
"NR100501","NR100501:250163988","NR100501:250163988"
"NR1S1011","NR1S1011:250134782","NR1S1011:250134782"
"IITA-TMS-IBA050024","TMS050024:250107934","TMS050024:250107934"
"IITA-TMS-IBA050127","I050127:250300202","I050127:250300202"
"COB511","COB511:250399801","COB511:250399801"
"COB7180","COB7180:250107993","COB7180:250107993"
"NR060080","NR060080:250107840","NR060080:250107840"
"NR090022","NR090022:250107797","NR090022:250107797"
"NR100265","NR100265:250163986","NR100265:250163986"
"NR100290","NR100290:250134763","NR100290:250134763"
"NR100418","NR100418:250134607","NR100418:250134607"
"NR110384","NR110384:250399921","NR110384:250399921"
"NR1S1099","NR1S1099:250134720","NR1S1099:250134720"
"IITA-TMS-IBA010040","I010040:250300336","I010040:250300336"
"IITA-TMS-IBA051662","TMS051662:250107941","TMS051662:250107941"
"COB512","COB512:250107916","COB512:250107916"
"NR100105","NR100105:250134651","NR100105:250134651"
"COB553","COB553:250107966","COB553:250107966"
"COB7197","COB7197:250107956","COB7197:250107956"
"CR52A26","CR52A26:250134519","CR52A26:250134519"
"NR060189","NR060189:250107841","NR060189:250107841"
"NR060242","NR060242:250107839","NR060242:250107839"
"NR060251","NR060251:250134458","NR060251:250134458"
"NR090187","NR090187:250107783","NR090187:250107783"
"NR090191","NR090191:250107803","NR090191:250107803"
"NR090310","NR090310:250107828","NR090310:250107828"
"NR100158","NR100158:250164009","NR100158:250164009"
"NR100269","NR100269:250134716","NR100269:250134716"
"NR100323","NR100323:250134747","NR100323:250134747"
"NR100329","NR100329:250134485","NR100329:250134485"
"NR100499","NR100499:250134643","NR100499:250134643"
"NR110005","NR110005:250134616","NR110005:250134616"
"NR1S1217","NR1S1217:250134657","NR1S1217:250134657"
"IITA-TMS-IBA010034","I010034:250300320","I010034:250300320"
"TMS011097","TMS011097:250107912","TMS011097:250107912"
"IITA-TMS-IBA011371","I011371:250090769","I011371:250090769"
"IITA-TMS-IBA050327","I050327:250300192","I050327:250300192"
"IITA-TMS-IBA051600","TMS051600:250134492","TMS051600:250134492"
"IITA-TMS-IBA070553","I070553:250300173","I070553:250300173"
"IITA-TMS-IBA070576","I070576:250090831","I070576:250090831"
"IITA-TMS-IBA070620","I070620:250300161","I070620:250300161"
"IITA-TMS-IBA070649","I070649:250300166","I070649:250300166"
"COB452","COB452:250107909","COB452:250107909"
"CR52A31","CR52A31:250134530","CR52A31:250134530"
"NR100155","NR100155:250134756","NR100155:250134756"
"NR060394",NA,"NR060394"
"NR090206","NR090206:250107836","NR090206:250107836"
"NR100077","NR100077:250399925","NR100077:250399925"
"NR100242","NR100242:250163996","NR100242:250163996"
"NR100321","NR100321:250134746","NR100321:250134746"
"NR100357","NR100357:250134627","NR100357:250134627"
"NR100455","NR100455:250164002","NR100455:250164002"
"IITA-TMS-IBA050286","I050286:250090839","I050286:250090839"
"NR100462","NR100462:250134796","NR100462:250134796"
"NR100222","NR100222:250134784","NR100222:250134784"
"NR110485","NR110485:250134661","NR110485:250134661"
"AR919",NA,"AR919"
"COB641","COB641:250107985","COB641:250107985"
"CR52A6","CR52A6:250134466","CR52A6:250134466"
"NR070632","NR070632:250134533","NR070632:250134533"
"NR090142",NA,"NR090142"
"NR090146","NR090146:250107824","NR090146:250107824"
"NR090176","NR090176:250107779","NR090176:250107779"
"NR110295","NR110295:250134596","NR110295:250134596"
"IITA-TMS-IBA050251","TMS050251:250107978","TMS050251:250107978"
"NR100238","NR100238:250134663","NR100238:250134663"
"TMS070352","TMS070352:250134524","TMS070352:250134524"
"IITA-TMS-IBA070974","I070974:250300149","I070974:250300149"
"COB1163","COB1163:250107931","COB1163:250107931"
"COB474","COB474:250107927","COB474:250107927"
"COB524","COB524:250107937","COB524:250107937"
"CR247","CR247:250134593","CR247:250134593"
"MM975280","MM975280:250399926","MM975280:250399926"
"NR090115","NR090115:250107785","NR090115:250107785"
"NR090116","NR090116:250107784","NR090116:250107784"
"NR090127","NR090127:250107822","NR090127:250107822"
"NR110014","NR110014:250134638","NR110014:250134638"
"NR110052","NR110052:250134626","NR110052:250134626"
"NR110118","NR110118:250134608","NR110118:250134608"
"NR110276","NR110276:250134613","NR110276:250134613"
"NR110327","NR110327:250134721","NR110327:250134721"
"NR110341","NR110341:250134494","NR110341:250134494"
"NR110343","NR110343:250134660","NR110343:250134660"
"NR110367","NR110367:250134665","NR110367:250134665"
"NR110433","NR110433:250134646","NR110433:250134646"
"NR110450","NR110450:250134628","NR110450:250134628"
"NR1S10097",NA,"NR1S10097"
"IITA-TMS-IBA011086","I011086:250300303","I011086:250300303"
"IITA-TMS-IBA050100","I050100:250300208","I050100:250300208"
"IITA-TMS-IBA070962","I070962:250300172","I070962:250300172"
"NR060246","NR060246:250107838","NR060246:250107838"
"NR060333","NR060333:250107787","NR060333:250107787"
"NR110092","NR110092:250134761","NR110092:250134761"
"NR110126","NR110126:250134618","NR110126:250134618"
"NR110160","NR110160:250134778","NR110160:250134778"
"NR110330","NR110330:250134669","NR110330:250134669"
"NR110365","NR110365:250134602","NR110365:250134602"
"NR1S1059","NR1S1059:250134649","NR1S1059:250134649"
"IITA-TMS-IBA010085","I010085:250300333","I010085:250300333"
"IITA-TMS-IBA070824","I070824:250300170","I070824:250300170"
"IITA-TMS-IBA070835","I070835:250090834","I070835:250090834"
"IITA-TMS-IBA070874","I070874:250300175","I070874:250300175"
"IITA-TMS-IBA051646","I051646:250300203","I051646:250300203"
"AR124","AR124:250107818","AR124:250107818"
"COB548","COB548:250107988","COB548:250107988"
"COB619","COB619:250107990","COB619:250107990"
"COB725","COB725:250108000","COB725:250108000"
"CR3514","CR3514:250134465","CR3514:250134465"
"CR52A2","CR52A2:250134482","CR52A2:250134482"
"NR060186","NR060186:250399920","NR060186:250399920"
"NR090162","NR090162:250107821","NR090162:250107821"
"NR100079","NR100079:250164003","NR100079:250164003"
"NR100106","NR100106:250134736","NR100106:250134736"
"NR100313","NR100313:250134655","NR100313:250134655"
"NR100441","NR100441:250134738","NR100441:250134738"
"NWAIBIBI","NWAIBIBI:250134499","NWAIBIBI:250134499"
"IITA-TMS-IBA050231","I050231:250300209","I050231:250300209"
"IITA-TMS-IBA051274","I051274:250090837","I051274:250090837"
"IITA-TMS-IBA070525","I070525:250300174","I070525:250300174"
"TMS950211","TMS950211:250107979","TMS950211:250107979"
"IITA-TMS-MM961751","MM961751:250300552","MM961751:250300552"
"NR090078","NR090078:250107843","NR090078:250107843"
"NR090150","NR090150:250107811","NR090150:250107811"
"NR100018","NR100018:250134501","NR100018:250134501"
"NR100024","NR100024:250134715","NR100024:250134715"
"NR100173","NR100173:250134750","NR100173:250134750"
"NR100185","NR100185:250164014","NR100185:250164014"
"NR100199","NR100199:250134647","NR100199:250134647"
"NR100216","NR100216:250134760","NR100216:250134760"
"NR100291","NR100291:250134726","NR100291:250134726"
"NR100310","NR100310:250134731","NR100310:250134731"
"NR100334","NR100334:250164005","NR100334:250164005"
"NR100417","NR100417:250163998","NR100417:250163998"
"NR110238","NR110238:250399918","NR110238:250399918"
"NR1S1061","NR1S1061:250134623","NR1S1061:250134623"
"TMS000338","TMS000338:250134525","TMS000338:250134525"
"IITA-TMS-IBA010098","I010098:250300331","I010098:250300331"
"IITA-TMS-IBA010103","I010103:250300343","I010103:250300343"
"TMS050752","TMS050752:250107969","TMS050752:250107969"
"IITA-TMS-IBA051599","I051599:250300210","I051599:250300210"
"IITA-TMS-IBA062426","TMS062426:250134507","TMS062426:250134507"
"X.TMS982132","TMS982132:250134450","TMS982132:250134450"
"CR249","CR249:250134541","CR249:250134541"
"NR090054","NR090054:250134522","NR090054:250134522"
"NR090068","NR090068:250107806","NR090068:250107806"
"NR100156","NR100156:250134762","NR100156:250134762"
"NR110309","NR110309:250134542","NR110309:250134542"
"IITA-TMS-IBA010169","I010169:250300308","I010169:250300308"
"IITA-TMS-IBA011368","I011368:250300318","I011368:250300318"
"AR182","AR182:250134520","AR182:250134520"
"CW45072","CW45072:250107871","CW45072:250107871"
"CW45180","CW45180:250107866","CW45180:250107866"
"CW4823","CW4823:250107826","CW4823:250107826"
"AR155","AR155:250134515","AR155:250134515"
"AR3913","AR3913:250134481","AR3913:250134481"
"CR14B218","CR14B218:250107870","CR14B218:250107870"
"CR14B67","CR14B67:250134543","CR14B67:250134543"
"CR15B3","CR15B3:250107844","CR15B3:250107844"
"CR15B4","CR15B4:250107795","CR15B4:250107795"
"CR15B62","CR15B62:250107793","CR15B62:250107793"
"CR15B7","CR15B7:250107830","CR15B7:250107830"
"CR15B9",NA,"CR15B9"
"CR60B10","CR60B10:250134512","CR60B10:250134512"
"CW45036","CW45036:250107868","CW45036:250107868"
"CW45046","CW45046:250107796","CW45046:250107796"
"CW45075",NA,"CW45075"
"CW45133","CW45133:250107872","CW45133:250107872"
"CW48515","CW48515:250134504","CW48515:250134504"
"CW5251","CW5251:250134472","CW5251:250134472"
"IITA-TMS-MH950414","MH950414:250134528","MH950414:250134528"
"MM97JW2","MM97JW2:250300477","MM97JW2:250300477"
"NR010004","NR010004:250107855","NR010004:250107855"
"NR100410","NR100410:250134722","NR100410:250134722"
"NR100424","NR100424:250134488","NR100424:250134488"
"IITA-TMS-IBA950289","I950289:250300577","I950289:250300577"
"IITA-TMS-IBA961632","I961632:250300546","I961632:250300546"
"TMS961708","TMS961708:250107977","TMS961708:250107977"
"CR346","CR346:250134490","CR346:250134490"
"CR3913","CR3913:250134456","CR3913:250134456"
"CW45617","CW45617:250107782","CW45617:250107782"
"CW48216","CW48216:250107874","CW48216:250107874"
"IITA-TMS-IBA980510","I980510:250303662","I980510:250303662"
"NR050028","NR050028:250107845","NR050028:250107845"
"NR050041",NA,"NR050041"
"NR050052","NR050052:250134502","NR050052:250134502"
"NR050362","NR050362:250107863","NR050362:250107863"
"NR110030","NR110030:250134595","NR110030:250134595"
"NR110081","NR110081:250134629","NR110081:250134629"
"NR110153","NR110153:250134578","NR110153:250134578"
"NR110265","NR110265:250134714","NR110265:250134714"
"NR110476","NR110476:250134667","NR110476:250134667"
"IITA-TMS-IBA010046","I010046:250300307","I010046:250300307"
"NR050046","NR050046:250107851","NR050046:250107851"
"NR050067","NR050067:250107835","NR050067:250107835"
"NR050080",NA,"NR050080"
"NR050100","NR050100:250107858","NR050100:250107858"
"NR050200","NR050200:250107852","NR050200:250107852"
"NR050266","NR050266:250107847","NR050266:250107847"
"NR110021","NR110021:250134463","NR110021:250134463"
"NR110036","NR110036:250134586","NR110036:250134586"
"NR110084","NR110084:250134668","NR110084:250134668"
"NR110122","NR110122:250134713","NR110122:250134713"
"NR110141","NR110141:250134587","NR110141:250134587"
"NR110143","NR110143:250134594","NR110143:250134594"
"NR110165","NR110165:250134470","NR110165:250134470"
"NR110178","NR110178:250134592","NR110178:250134592"
"NR110385","NR110385:250134745","NR110385:250134745"
"TMS010128","TMS010128:250134487","TMS010128:250134487"
"NR050107","NR050107:250107846","NR050107:250107846"
"NR050166",NA,"NR050166"
"NR110167","NR110167:250134620","NR110167:250134620"
"NR110376","NR110376:250134751","NR110376:250134751"
"NR110383","NR110383:250134653","NR110383:250134653"
"NR110495","NR110495:250134644","NR110495:250134644"
"NR1S10064",NA,"NR1S10064"
"NR110078","NR110078:250134711","NR110078:250134711"
"NR110104","NR110104:250134455","NR110104:250134455"
"NR110159","NR110159:250134486","NR110159:250134486"
"NR110255","NR110255:250134471","NR110255:250134471"
"NR110294","NR110294:250134712","NR110294:250134712"
"NR110331","NR110331:250134664","NR110331:250134664"
"NR110337","NR110337:250134534","NR110337:250134534"
"NR110489","NR110489:250134737","NR110489:250134737"
"NR110115","NR110115:250134610","NR110115:250134610"
"NR110168","NR110168:250134780","NR110168:250134780"
"NR110194","NR110194:250134666","NR110194:250134666"
"NR110214","NR110214:250134793","NR110214:250134793"
"NR110267","NR110267:250134652","NR110267:250134652"
"NR110325","NR110325:250134478","NR110325:250134478"
"NR110328","NR110328:250134454","NR110328:250134454"
"NR110342","NR110342:250134624","NR110342:250134624"
"NR110350","NR110350:250134642","NR110350:250134642"
"NR110361","NR110361:250134597","NR110361:250134597"
"NR110372","NR110372:250134588","NR110372:250134588"
"NR110439","NR110439:250134606","NR110439:250134606"
"NR110478","NR110478:250134630","NR110478:250134630"
"NR110490","NR110490:250134598","NR110490:250134598"
"NR110017","NR110017:250134583","NR110017:250134583"
"NR110044","NR110044:250134798","NR110044:250134798"
"NR110158","NR110158:250134612","NR110158:250134612"
"NR110179","NR110179:250134634","NR110179:250134634"
"NR110312","NR110312:250134650","NR110312:250134650"
"NR110345","NR110345:250134622","NR110345:250134622"
"NR110512","NR110512:250134581","NR110512:250134581"
"NR110012","NR110012:250134658","NR110012:250134658"
"NR110048","NR110048:250134786","NR110048:250134786"
"NR110083","NR110083:250134640","NR110083:250134640"
"NR110110","NR110110:250134604","NR110110:250134604"
"NR110112","NR110112:250134579","NR110112:250134579"
"NR110223","NR110223:250134654","NR110223:250134654"
"NR110298","NR110298:250134729","NR110298:250134729"
"NR110348","NR110348:250134670","NR110348:250134670"
"NR110377","NR110377:250134766","NR110377:250134766"
"NR110025","NR110025:250134704","NR110025:250134704"
"NR110080","NR110080:250134710","NR110080:250134710"
"NR110088","NR110088:250134648","NR110088:250134648"
"NR110108","NR110108:250134759","NR110108:250134759"
"NR110166","NR110166:250134637","NR110166:250134637"
"NR110176","NR110176:250134706","NR110176:250134706"
"NR110181","NR110181:250134771","NR110181:250134771"
"NR110232","NR110232:250134645","NR110232:250134645"
"NR110386","NR110386:250134625","NR110386:250134625"
"NR110487","NR110487:250134462","NR110487:250134462"
"NR110493","NR110493:250134632","NR110493:250134632"
"NR110009","NR110009:250134603","NR110009:250134603"
"NR110016","NR110016:250134662","NR110016:250134662"
"NR110095","NR110095:250134518","NR110095:250134518"
"NR110212","NR110212:250134605","NR110212:250134605"
"NR110282","NR110282:250134719","NR110282:250134719"
"NR110317","NR110317:250134777","NR110317:250134777"
"NR110370","NR110370:250134614","NR110370:250134614"
"NR110472","NR110472:250134785","NR110472:250134785"
"NR100414","NR100414:250134794","NR100414:250134794"
"NR110289","NR110289:250134797","NR110289:250134797"
"NR110031","NR110031:250163982","NR110031:250163982"
"NR110043","NR110043:250134727","NR110043:250134727"
"NR110072","NR110072:250134733","NR110072:250134733"
"NR110079","NR110079:250134641","NR110079:250134641"
"NR110105","NR110105:250134636","NR110105:250134636"
"NR110145","NR110145:250134743","NR110145:250134743"
"NR110171","NR110171:250134580","NR110171:250134580"
"NR110183","NR110183:250134582","NR110183:250134582"
"NR110213","NR110213:250134789","NR110213:250134789"
"NR110237","NR110237:250134767","NR110237:250134767"
"NR110260","NR110260:250134753","NR110260:250134753"
"NR110270","NR110270:250134621","NR110270:250134621"
"NR110290","NR110290:250134526","NR110290:250134526"
"NR110320","NR110320:250134735","NR110320:250134735"
"NR110106","NR110106:250134611","NR110106:250134611"
"NR110133","NR110133:250134633","NR110133:250134633"
"NR110301","NR110301:250134510","NR110301:250134510"
"NR1S1050","NR1S1050:250164015","NR1S1050:250164015"
"CR3510","CR3510:250134475","CR3510:250134475"
"COB479","COB479:250107962","COB479:250107962"
"COB557","COB557:250107999","COB557:250107999"
"CR492","CR492:250134476","CR492:250134476"
"NR100375","NR100375:250134791","NR100375:250134791"
"NR100372","NR100372:250134757","NR100372:250134757"
"IITA-TMS-IBA090581","I090581:250099170","I090581:250099170"
"IITA-TMS-IBA090508","I090508:250099168","I090508:250099168"
"IITA-TMS-MM971405","MM971405:250090821","MM971405:250090821"
"IITA-TMS-IBA101917","I101917:250099061","I101917:250099061"
"CPCR24B-16",NA,"CPCR24B-16"
"TMEB568","TMEB568:250253924","TMEB568:250253924"
"IITA-TMS-IBA980406","I980406:250090810","I980406:250090810"
"IITA-TMS-IBA940006","I940006:250090826","I940006:250090826"
"CPCR11B-16","CPCR11BP16:250368006","CPCR11BP16:250368006"
"IITA-TMS-MOK980057","M980057:250090789","M980057:250090789"
"CO08016","CO08016:250399755","CO08016:250399755"
"GCO158-8",NA,"GCO158-8"
"IITA-TMS-IBA102708","I102708:250099035","I102708:250099035"
"IITA-TMS-IBA011551","I011551:250090780","I011551:250090780"
"C008022",NA,"C008022"
"IITA-TMS-IBA011610",NA,"IITA-TMS-IBA011610"
"TMEB1776","TMEB1776:250254426","TMEB1776:250254426"
"IITA-TMS-IBA991702","I991702:250090772","I991702:250090772"
"TMEB778","TMEB778:250254008","TMEB778:250254008"
"IITA-TMS-IBA960592","TMS960592:250368004","TMS960592:250368004"
"IITA-TMS-IBA961569","I961569:250090799","I961569:250090799"
"IITA-TMS-IBA970103","I970103:250090820","I970103:250090820"
"IITA-TMS-IBA940330","I940330:250090830","I940330:250090830"
"IITA-TMS-IBAMP080540","MP080540:250099210","MP080540:250099210"
"IITA-TMS-IBA102094","I102094:250099091","I102094:250099091"
"IITA-TMS-IBA101927","I101927:250099088","I101927:250099088"
