"germplasmName","MWgroup","Institute","FullSampleName"
"IITA-TMS-MOK980115","TrainingPopulations","NRCRI","M980115:250300456"
"IITA-TMS-MOK980115","TrainingPopulations","NRCRI","M980115:250399874"
"IITA-TMS-MOK980115","TrainingPopulations","NRCRI","M980115:250251106"
"IITA-TMS-IBA982101","TrainingPopulations","NRCRI","I982101:250090795"
"IITA-TMS-IBA982101","TrainingPopulations","NRCRI","I982101:250302432"
"IITA-TMS-IBA982101","TrainingPopulations","NRCRI","TMS982101:250251090"
"IITA-TMS-IBA070481","TrainingPopulations","NRCRI","I070481:250300164"
"IITA-TMS-IBA070481","TrainingPopulations","NRCRI","TMS070481:250107935"
"IITA-TMS-IBA000203","TrainingPopulations","NRCRI","I000203:250300407"
"IITA-TMS-IBA000203","TrainingPopulations","NRCRI","TMS000203:250134506"
"IITA-TMS-IBA051601","TrainingPopulations","NRCRI","I051601:250300201"
"IITA-TMS-IBA051601","TrainingPopulations","NRCRI","TMS051601:250107968"
"IITA-TMS-IBA011663","TrainingPopulations","NRCRI","I011663:250300298"
"IITA-TMS-IBA011663","TrainingPopulations","NRCRI","TMS011663:250134491"
"IITA-TMS-IBA070756","TrainingPopulations","NRCRI","I070756:250300160"
"IITA-TMS-IBA070756","TrainingPopulations","NRCRI","TMS070756:250134483"
"AR1410","TrainingPopulations","NRCRI","AR1410:250399710"
"AR1410","TrainingPopulations","NRCRI","AR1410:250399917"
"NR1S1176","TrainingPopulations","NRCRI","NR1S1176:250134539"
"NR1S1176","TrainingPopulations","NRCRI","NR1S1176:250399915"
"IITA-TMS-IBA051553","TrainingPopulations","NRCRI","I051553:250300205"
"IITA-TMS-IBA051553","TrainingPopulations","NRCRI","TMS051553:250107972"
"IITA-TMS-IBA010131","TrainingPopulations","NRCRI","I010131:250300316"
"IITA-TMS-IBA010131","TrainingPopulations","NRCRI","TMS010131:250107953"
"IITA-TMS-IBA051814","TrainingPopulations","NRCRI","I051814:250300207"
"IITA-TMS-IBA051814","TrainingPopulations","NRCRI","TMS051814:250107960"
"COB544","TrainingPopulations","NRCRI","COB544:250107930"
"COB544","TrainingPopulations","NRCRI","COB544:250399903"
"CR8A22","TrainingPopulations","NRCRI","CR8A22:250134516"
"CR8A22","TrainingPopulations","NRCRI","CR8A22:250399905"
"IITA-TMS-MMM96JW1","TrainingPopulations","NRCRI","MM96JW1:250300559"
"IITA-TMS-MMM96JW1","TrainingPopulations","NRCRI","MM96JW1:250107940"
"IITA-TMS-IBA070675","TrainingPopulations","NRCRI","I070675:250300167"
"IITA-TMS-IBA070675","TrainingPopulations","NRCRI","TMS070675:250107975"
"IITA-TMS-IBA050311","TrainingPopulations","NRCRI","I050311:250300193"
"IITA-TMS-IBA050311","TrainingPopulations","NRCRI","TMS050311:250107951"
"IITA-TMS-IBA011797","TrainingPopulations","NRCRI","I011797:250090770"
"IITA-TMS-IBA011797","TrainingPopulations","NRCRI","TMS011797:250134493"
"IITA-TMS-IBA050186","TrainingPopulations","NRCRI","I050186:250090840"
"IITA-TMS-IBA050186","TrainingPopulations","NRCRI","TMS050186:250107920"
"IITA-TMS-IBA070808","TrainingPopulations","NRCRI","I070808:250300176"
"IITA-TMS-IBA070808","TrainingPopulations","NRCRI","TMS070808:250107992"
"IITA-TMS-IBA051626","TrainingPopulations","NRCRI","I051626:250300213"
"IITA-TMS-IBA051626","TrainingPopulations","NRCRI","TMS051626:250107943"
"IITA-TMS-IBA070952","TrainingPopulations","NRCRI","I070952:250300144"
"IITA-TMS-IBA070952","TrainingPopulations","NRCRI","TMS070952:250107938"
"IITA-TMS-IBA051652","TrainingPopulations","NRCRI","I051652:250090833"
"IITA-TMS-IBA051652","TrainingPopulations","NRCRI","TMS051652:250107919"
"IITA-TMS-IBA051625","TrainingPopulations","NRCRI","I051625:250300211"
"IITA-TMS-IBA051625","TrainingPopulations","NRCRI","TMS051625:250134479"
"IITA-TMS-IBA070614","TrainingPopulations","NRCRI","I070614:250300187"
"IITA-TMS-IBA070614","TrainingPopulations","NRCRI","TMS070614:250107970"
"IITA-TMS-IBA051631","TrainingPopulations","NRCRI","I051631:250300199"
"IITA-TMS-IBA051631","TrainingPopulations","NRCRI","TMS051631:250107989"
"IITA-TMS-IBA051654","TrainingPopulations","NRCRI","I051654:250300194"
"IITA-TMS-IBA051654","TrainingPopulations","NRCRI","TMS051654:250134514"
"TMS070099","TrainingPopulations","NRCRI","TMS070099:250134609"
"TMS070099","TrainingPopulations","NRCRI","TMS070099:250399900"
"IITA-TMS-IBA051662","TrainingPopulations","NRCRI","TMS051662:250107941"
"IITA-TMS-IBA051662","TrainingPopulations","NRCRI","TMS051662:250399909"
"COB512","TrainingPopulations","NRCRI","COB512:250107916"
"COB512","TrainingPopulations","NRCRI","COB512:250399908"
"COB553","TrainingPopulations","NRCRI","COB553:250107966"
"COB553","TrainingPopulations","NRCRI","COB553:250399902"
"NR060251","TrainingPopulations","NRCRI","NR060251:250134458"
"NR060251","TrainingPopulations","NRCRI","NR060251:250399894"
"IITA-TMS-IBA011371","TrainingPopulations","NRCRI","I011371:250090769"
"IITA-TMS-IBA011371","TrainingPopulations","NRCRI","TMS011371:250134517"
"IITA-TMS-IBA050327","TrainingPopulations","NRCRI","I050327:250300192"
"IITA-TMS-IBA050327","TrainingPopulations","NRCRI","TMS050327:250107925"
"IITA-TMS-IBA051600","TrainingPopulations","NRCRI","TMS051600:250134492"
"IITA-TMS-IBA051600","TrainingPopulations","NRCRI","TMS051600:250399892"
"IITA-TMS-IBA070553","TrainingPopulations","NRCRI","I070553:250300173"
"IITA-TMS-IBA070553","TrainingPopulations","NRCRI","TMS070553:250134503"
"IITA-TMS-IBA070576","TrainingPopulations","NRCRI","I070576:250090831"
"IITA-TMS-IBA070576","TrainingPopulations","NRCRI","TMS070576:250107923"
"IITA-TMS-IBA070620","TrainingPopulations","NRCRI","I070620:250300161"
"IITA-TMS-IBA070620","TrainingPopulations","NRCRI","TMS070620:250107984"
"IITA-TMS-IBA070649","TrainingPopulations","NRCRI","I070649:250300166"
"IITA-TMS-IBA070649","TrainingPopulations","NRCRI","TMS070649:250107957"
"NR100155","TrainingPopulations","NRCRI","NR100155:250134756"
"NR100155","TrainingPopulations","NRCRI","NR100155:250399916"
"IITA-TMS-IBA050286","TrainingPopulations","NRCRI","I050286:250090839"
"IITA-TMS-IBA050286","TrainingPopulations","NRCRI","TMS050286:250107924"
"IITA-TMS-IBA070974","TrainingPopulations","NRCRI","I070974:250300149"
"IITA-TMS-IBA070974","TrainingPopulations","NRCRI","TMS070974:250134477"
"COB524","TrainingPopulations","NRCRI","COB524:250107937"
"COB524","TrainingPopulations","NRCRI","COB524:250399896"
"CR247","TrainingPopulations","NRCRI","CR247:250134593"
"CR247","TrainingPopulations","NRCRI","CR247:250399912"
"IITA-TMS-IBA050100","TrainingPopulations","NRCRI","I050100:250300208"
"IITA-TMS-IBA050100","TrainingPopulations","NRCRI","TMS050100:250134601"
"IITA-TMS-IBA070962","TrainingPopulations","NRCRI","I070962:250300172"
"IITA-TMS-IBA070962","TrainingPopulations","NRCRI","TMS070962:250107929"
"IITA-TMS-IBA070824","TrainingPopulations","NRCRI","I070824:250300170"
"IITA-TMS-IBA070824","TrainingPopulations","NRCRI","TMS070824:250107910"
"IITA-TMS-IBA070835","TrainingPopulations","NRCRI","I070835:250090834"
"IITA-TMS-IBA070835","TrainingPopulations","NRCRI","TMS070835:250107983"
"IITA-TMS-IBA070874","TrainingPopulations","NRCRI","I070874:250300175"
"IITA-TMS-IBA070874","TrainingPopulations","NRCRI","TMS070874:250107980"
"IITA-TMS-IBA051646","TrainingPopulations","NRCRI","I051646:250300203"
"IITA-TMS-IBA051646","TrainingPopulations","NRCRI","TMS051646:250134511"
"COB548","TrainingPopulations","NRCRI","COB548:250107988"
"COB548","TrainingPopulations","NRCRI","COB548:250399911"
"IITA-TMS-IBA050231","TrainingPopulations","NRCRI","I050231:250300209"
"IITA-TMS-IBA050231","TrainingPopulations","NRCRI","TMS050231:250107998"
"IITA-TMS-IBA051274","TrainingPopulations","NRCRI","I051274:250090837"
"IITA-TMS-IBA051274","TrainingPopulations","NRCRI","TMS051274:250107918"
"IITA-TMS-IBA070525","TrainingPopulations","NRCRI","I070525:250300174"
"IITA-TMS-IBA070525","TrainingPopulations","NRCRI","TMS070525:250107917"
"IITA-TMS-MM961751","TrainingPopulations","NRCRI","MM961751:250300552"
"IITA-TMS-MM961751","TrainingPopulations","NRCRI","MM961751:250107959"
"IITA-TMS-IBA010103","TrainingPopulations","NRCRI","I010103:250300343"
"IITA-TMS-IBA010103","TrainingPopulations","NRCRI","TMS010103:250107914"
"IITA-TMS-IBA051599","TrainingPopulations","NRCRI","I051599:250300210"
"IITA-TMS-IBA051599","TrainingPopulations","NRCRI","TMS051599:250107944"
"IITA-TMS-IBA010169","TrainingPopulations","NRCRI","I010169:250300308"
"IITA-TMS-IBA010169","TrainingPopulations","NRCRI","TMS010169:250107913"
"CR14B67","TrainingPopulations","NRCRI","CR14B67:250134543"
"CR14B67","TrainingPopulations","NRCRI","CR14B67:250399914"
"CR15B4","TrainingPopulations","NRCRI","CR15B4:250107795"
"CR15B4","TrainingPopulations","NRCRI","CR15B4:250399907"
"CW48515","TrainingPopulations","NRCRI","CW48515:250134504"
"CW48515","TrainingPopulations","NRCRI","CW48515:250399889"
"MM97JW2","TrainingPopulations","NRCRI","MM97JW2:250300477"
"MM97JW2","TrainingPopulations","NRCRI","MM97JW2:250107997"
"IITA-TMS-IBA950289","TrainingPopulations","NRCRI","I950289:250300577"
"IITA-TMS-IBA950289","TrainingPopulations","NRCRI","TMS950289:250134464"
"CR346","TrainingPopulations","NRCRI","CR346:250134490"
"CR346","TrainingPopulations","NRCRI","CR346:250399891"
"CR3913","TrainingPopulations","NRCRI","CR3913:250134456"
"CR3913","TrainingPopulations","NRCRI","CR3913:250399906"
"IITA-TMS-IBA980510","TrainingPopulations","NRCRI","I980510:250303662"
"IITA-TMS-IBA980510","TrainingPopulations","NRCRI","TMS980510:250134496"
"NR050052","TrainingPopulations","NRCRI","NR050052:250134502"
"NR050052","TrainingPopulations","NRCRI","NR050052:250399897"
"TMS010128","TrainingPopulations","NRCRI","TMS010128:250134487"
"TMS010128","TrainingPopulations","NRCRI","TMS010128:250399904"
"NR110095","TrainingPopulations","NRCRI","NR110095:250134518"
"NR110095","TrainingPopulations","NRCRI","NR110095:250134590"
"CR3510","TrainingPopulations","NRCRI","CR3510:250134475"
"CR3510","TrainingPopulations","NRCRI","CR3510:250399890"
"IITA-TMS-IBA101917","TrainingPopulations","NRCRI","I101917:250099061"
"IITA-TMS-IBA101917","TrainingPopulations","NRCRI","I101917:250399875"
"TMEB568","TrainingPopulations","NRCRI","TMEB568:250253924"
"TMEB568","TrainingPopulations","NRCRI","TME568:250368048"
"IITA-TMS-IBA011551","TrainingPopulations","NRCRI","I011551:250090780"
"IITA-TMS-IBA011551","TrainingPopulations","NRCRI","I011551:250399842"
"TMEB1776","TrainingPopulations","NRCRI","TMEB1776:250254426"
"TMEB1776","TrainingPopulations","NRCRI","EXCEL:250090854"
"IITA-TMS-IBA961569","TrainingPopulations","NRCRI","I961569:250090799"
"IITA-TMS-IBA961569","TrainingPopulations","NRCRI","TMS961569:250399845"
"IITA-TMS-IBA940561","TrainingPopulations","NRCRI","I940561:250090825"
"IITA-TMS-IBA940561","TrainingPopulations","NRCRI","TMS940561:250107857"
"TMEB9","TrainingPopulations","NRCRI","TMEB9:250253601"
"TMEB9","TrainingPopulations","NRCRI","TME9:250367985"
"IITA-TMS-IBA30001","TrainingPopulations","NRCRI","I30001:250304624"
"IITA-TMS-IBA30001","TrainingPopulations","NRCRI","TMS30001:250367984"
"IITA-TMS-IBA920326","TrainingPopulations","NRCRI","I920326:250090768"
"IITA-TMS-IBA920326","TrainingPopulations","NRCRI","TMS920326:250251138"
"TMS010632","TrainingPopulations","NRCRI","TMS010632:250367983"
"TMS010632","TrainingPopulations","NRCRI","TMS010632:250251145"
"IITA-TMS-MOK000044","TrainingPopulations","NRCRI","M000044:250090784"
"IITA-TMS-MOK000044","TrainingPopulations","NRCRI","MM000044:250399746"
"IITA-TMS-IBA920057","TrainingPopulations","NRCRI","I920057:250304492"
"IITA-TMS-IBA920057","TrainingPopulations","NRCRI","TMS920057:250107861"
"IITA-TMS-IBA102133","TrainingPopulations","NRCRI","I102133:250099027"
"IITA-TMS-IBA102133","TrainingPopulations","NRCRI","I102133:250399872"
"TME258","TrainingPopulations","NRCRI","TMEB258:250253797"
"TME258","TrainingPopulations","NRCRI","TME258:250368028"
"TMS000210","TrainingPopulations","NRCRI","TMS000210:250399715"
"TMS000210","TrainingPopulations","NRCRI","TMS000210:250251089"
"IITA-TMS-IBA011235","TrainingPopulations","NRCRI","TMS011235:250367989"
"IITA-TMS-IBA011235","TrainingPopulations","NRCRI","TMS011235:250251122"
"CPCR27B-30","TrainingPopulations","NRCRI","CPCR27BP30:250368023"
"CPCR27B-30","TrainingPopulations","NRCRI","CPCR27B_30:250597867"
"IITA-TMS-IBA996016","TrainingPopulations","NRCRI","I996016:250090791"
"IITA-TMS-IBA996016","TrainingPopulations","NRCRI","I996016:250399840"
"IITA-TMS-IBA930007","TrainingPopulations","NRCRI","I930007:250090827"
"IITA-TMS-IBA930007","TrainingPopulations","NRCRI","I930007:250399843"
"IITA-TMS-IBA102616","TrainingPopulations","NRCRI","I102616:250099049"
"IITA-TMS-IBA102616","TrainingPopulations","NRCRI","I102616:250399883"
"IITA-TMS-IBA950379","TrainingPopulations","NRCRI","I950379:250300567"
"IITA-TMS-IBA950379","TrainingPopulations","NRCRI","TMS950379:250367977"
"IITA-TMS-IBA011115","TrainingPopulations","NRCRI","I011115:250300311"
"IITA-TMS-IBA011115","TrainingPopulations","NRCRI","TMS011115:250368014"
"IITA-TMS-IBA961089A","TrainingPopulations","NRCRI","I961089A:250300537"
"IITA-TMS-IBA961089A","TrainingPopulations","NRCRI","TMS961089A:250107856"
"CW4951","TrainingPopulations","NRCRI","CW495P1:250399780"
"CW4951","TrainingPopulations","NRCRI","CW495_1:250597875"
"MH944041","TrainingPopulations","NRCRI","MH944041:250368041"
"MH944041","TrainingPopulations","NRCRI","MH944041:250251137"
"IITA-TMS-IBA992123","TrainingPopulations","NRCRI","I992123:250300419"
"IITA-TMS-IBA992123","TrainingPopulations","NRCRI","TMS992123:250107850"
"IITA-TMS-WAR940009","TrainingPopulations","NRCRI","W940009:250300610"
"IITA-TMS-WAR940009","TrainingPopulations","NRCRI","W940009:250399781"
"IITA-TMS-IBA070593","TrainingPopulations","NRCRI","I070593:250300163"
"IITA-TMS-IBA070593","TrainingPopulations","NRCRI","I070593:250099286"
"IITA-TMS-IBA011331","TrainingPopulations","NRCRI","I011331:250300340"
"IITA-TMS-IBA011331","TrainingPopulations","NRCRI","TMS011331:250399729"
"IITA-TMS-IBA011442","TrainingPopulations","NRCRI","I011442:250300328"
"IITA-TMS-IBA011442","TrainingPopulations","NRCRI","TMS011442:250251121"
"IITA-TMS-IBA011413","TrainingPopulations","NRCRI","I011413:250300332"
"IITA-TMS-IBA011413","TrainingPopulations","NRCRI","TMS011413:250368020"
"IITA-TMS-WAR940038","TrainingPopulations","NRCRI","W940038:250300609"
"IITA-TMS-WAR940038","TrainingPopulations","NRCRI","W940038:250367999"
"IITA-TMS-IBA020510","TrainingPopulations","NRCRI","I020510:250090844"
"IITA-TMS-IBA020510","TrainingPopulations","NRCRI","I020510:250399884"
"IITA-TMS-IBAMP080743","TrainingPopulations","NRCRI","MP080743:250099205"
"IITA-TMS-IBAMP080743","TrainingPopulations","NRCRI","MP080743:250399881"
"IITA-TMS-IBA102353","TrainingPopulations","NRCRI","I102353:250099095"
"IITA-TMS-IBA102353","TrainingPopulations","NRCRI","I102353:250399836"
"IITA-TMS-IBA102535","TrainingPopulations","NRCRI","I102535:250099074"
"IITA-TMS-IBA102535","TrainingPopulations","NRCRI","I102535:250399885"
"IITA-TMS-MM990477","TrainingPopulations","NRCRI","MM990477:250090809"
"IITA-TMS-MM990477","TrainingPopulations","NRCRI","MM990477:250302566"
"IITA-TMS-IBA083739","TrainingPopulations","NRCRI","I083739:250304677"
"IITA-TMS-IBA083739","TrainingPopulations","NRCRI","I083739:250099305"
"IITA-TMS-IBA920417","TrainingPopulations","NRCRI","I920417:250090824"
"IITA-TMS-IBA920417","TrainingPopulations","NRCRI","I920417:250303095"
"IITA-TMS-IBA083849","TrainingPopulations","NRCRI","I083849:250099288"
"IITA-TMS-IBA083849","TrainingPopulations","NRCRI","I083849:250368044"
"IITA-TMS-MOK000004","TrainingPopulations","NRCRI","M000004:250090775"
"IITA-TMS-MOK000004","TrainingPopulations","NRCRI","MM000004:250399861"
"IITA-TMS-IBA070520","TrainingPopulations","NRCRI","I070520:250300165"
"IITA-TMS-IBA070520","TrainingPopulations","NRCRI","I070520:250099105"
"IITA-TMS-IBA961613","TrainingPopulations","NRCRI","I961613:250090822"
"IITA-TMS-IBA961613","TrainingPopulations","NRCRI","I961613:250367957"
"IITA-TMS-IBA101094","TrainingPopulations","NRCRI","I101094:250099164"
"IITA-TMS-IBA101094","TrainingPopulations","NRCRI","I101094:250399882"
"IITA-TMS-IBA070557","TrainingPopulations","NRCRI","I070557:250304728"
"IITA-TMS-IBA070557","TrainingPopulations","NRCRI","I070557:250099108"
"IITA-TMS-IBA030060","TrainingPopulations","NRCRI","I030060:250090848"
"IITA-TMS-IBA030060","TrainingPopulations","NRCRI","I030060:250303093"
