"DNASample","LibraryPrepID","LibraryPlateID","KeyfilePopulationLabel","DNA_Plate","KeyfilePedigree","FullSampleName","OrigKeyFile","Population","Institute"
"4_1_1962",250253778,450018265,"BreedersLandraces","IITA_LR_002",NA,"4_1_1962:250253778","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"88713",250254558,450018271,"BreedersLandraces","IITA_LR_008",NA,"88713:250254558","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"95_0109",250254365,450018270,"BreedersLandraces","IITA_LR_007",NA,"95_0109:250254365","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"96_1414",250254487,450018271,"BreedersLandraces","IITA_LR_008",NA,"96_1414:250254487","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"96_1444",250254674,450018272,"BreedersLandraces","IITA_LR_009",NA,"96_1444:250254674","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG14",250254501,450018271,"BreedersLandraces","IITA_LR_008",NA,"ANG14:250254501","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG18",250253761,450018265,"BreedersLandraces","IITA_LR_002",NA,"ANG18:250253761","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG18",250253913,450018266,"BreedersLandraces","IITA_LR_003",NA,"ANG18:250253913","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG20",250254681,450018272,"BreedersLandraces","IITA_LR_009",NA,"ANG20:250254681","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG26",250254693,450018272,"BreedersLandraces","IITA_LR_009",NA,"ANG26:250254693","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"B_BLILKP",250254110,450018268,"BreedersLandraces","IITA_LR_005",NA,"B_BLILKP:250254110","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"CM5306_8",250253609,450018264,"BreedersLandraces","IITA_LR_001",NA,"CM5306_8:250253609","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"I30555",250254006,450018267,"BreedersLandraces","IITA_LR_004",NA,"I30555:250254006","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"I30572",250253643,450018264,"BreedersLandraces","IITA_LR_001",NA,"I30572:250253643","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"I980581",250253626,450018264,"BreedersLandraces","IITA_LR_001",NA,"I980581:250253626","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ISSIANG",250253985,450018267,"BreedersLandraces","IITA_LR_004",NA,"ISSIANG:250253985","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"KIBANDAMENO",250254266,450018269,"BreedersLandraces","IITA_LR_006",NA,"KIBANDAMENO:250254266","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"KIGOMARED",250254541,450018271,"BreedersLandraces","IITA_LR_008",NA,"KIGOMARED:250254541","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"KIROBA",250253728,450018265,"BreedersLandraces","IITA_LR_002",NA,"KIROBA:250253728","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"L9_204_1613",250254522,450018271,"BreedersLandraces","IITA_LR_008",NA,"L9_204_1613:250254522","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"L9_304_25",250253934,450018266,"BreedersLandraces","IITA_LR_003",NA,"L9_304_25:250253934","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"L9_304_259",250253679,450018264,"BreedersLandraces","IITA_LR_001",NA,"L9_304_259:250253679","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"L9_304_614",250254131,450018268,"BreedersLandraces","IITA_LR_005",NA,"L9_304_614:250254131","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"L9_304_714",250253814,450018265,"BreedersLandraces","IITA_LR_002",NA,"L9_304_714:250253814","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"LEBAMBA",250253795,450018265,"BreedersLandraces","IITA_LR_002",NA,"LEBAMBA:250253795","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"M_TAI_25",250254283,450018269,"BreedersLandraces","IITA_LR_006",NA,"M_TAI_25:250254283","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MAUNJILI",250254406,450018270,"BreedersLandraces","IITA_LR_007",NA,"MAUNJILI:250254406","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MBOM_9",250254640,450018272,"BreedersLandraces","IITA_LR_009",NA,"MBOM_9:250254640","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MBOMA",250253863,450018266,"BreedersLandraces","IITA_LR_003",NA,"MBOMA:250253863","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MBOMA11",250254039,450018267,"BreedersLandraces","IITA_LR_004",NA,"MBOMA11:250254039","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MESES",250254181,450018268,"BreedersLandraces","IITA_LR_005",NA,"MESES:250254181","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MKONDEZI",250253662,450018264,"BreedersLandraces","IITA_LR_001",NA,"MKONDEZI:250253662","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MOCUBA",250254059,450018267,"BreedersLandraces","IITA_LR_004",NA,"MOCUBA:250254059","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"MZP40003_4",250254610,450018272,"BreedersLandraces","IITA_LR_009",NA,"MZP40003_4:250254610","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"NANCHINYAYA",250254381,450018270,"BreedersLandraces","IITA_LR_007",NA,"NANCHINYAYA:250254381","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"NO1_P2",250254249,450018269,"BreedersLandraces","IITA_LR_006",NA,"NO1_P2:250254249","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"NO2PLAN",250254423,450018270,"BreedersLandraces","IITA_LR_007",NA,"NO2PLAN:250254423","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"NO3_P2",250254657,450018272,"BreedersLandraces","IITA_LR_009",NA,"NO3_P2:250254657","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"NO7",250254575,450018271,"BreedersLandraces","IITA_LR_008",NA,"NO7:250254575","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"P8_P2B2",250254316,450018269,"BreedersLandraces","IITA_LR_006",NA,"P8_P2B2:250254316","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"PAPKING_IRRUA_",250254164,450018268,"BreedersLandraces","IITA_LR_005",NA,"PAPKING_IRRUA_:250254164","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"SILIRA",250254229,450018269,"BreedersLandraces","IITA_LR_006",NA,"SILIRA:250254229","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"SIMONYE",250254432,450018270,"BreedersLandraces","IITA_LR_007",NA,"SIMONYE:250254432","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"SL80_40",250254389,450018270,"BreedersLandraces","IITA_LR_007",NA,"SL80_40:250254389","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"SM1406_1",250254505,450018271,"BreedersLandraces","IITA_LR_008",NA,"SM1406_1:250254505","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1",250253593,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB1:250253593","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB10",250253602,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB10:250253602","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1000",250254064,450018267,"BreedersLandraces","IITA_LR_004",NA,"TMEB1000:250254064","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1001",250254065,450018267,"BreedersLandraces","IITA_LR_004",NA,"TMEB1001:250254065","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1002",250254066,450018267,"BreedersLandraces","IITA_LR_004",NA,"TMEB1002:250254066","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1006",250254067,450018267,"BreedersLandraces","IITA_LR_004",NA,"TMEB1006:250254067","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1008",250254068,450018267,"BreedersLandraces","IITA_LR_004",NA,"TMEB1008:250254068","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1009",250254100,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1009:250254100","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB101",250253656,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB101:250253656","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1010",250254101,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1010:250254101","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1018",250254102,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1018:250254102","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1019",250254103,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1019:250254103","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB102",250253657,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB102:250253657","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1021",250254105,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1021:250254105","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1022",250254106,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1022:250254106","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1024",250254107,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1024:250254107","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1025",250254108,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1025:250254108","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1027",250254109,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1027:250254109","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB103",250253658,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB103:250253658","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1032",250254111,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1032:250254111","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1034",250254112,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1034:250254112","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1038",250254113,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1038:250254113","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB104",250253659,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB104:250253659","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1040",250254114,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1040:250254114","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1042",250254115,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1042:250254115","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1044",250254116,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1044:250254116","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1045",250254117,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1045:250254117","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1046",250254118,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1046:250254118","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1047",250254119,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1047:250254119","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1048",250254120,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1048:250254120","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1049",250254121,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1049:250254121","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1050",250254122,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1050:250254122","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1052",250254123,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1052:250254123","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB107",250253660,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB107:250253660","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1070",250254124,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1070:250254124","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1072",250254125,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1072:250254125","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB108",250253661,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB108:250253661","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1081",250254126,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1081:250254126","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB109",250253663,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB109:250253663","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1099",250254127,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1099:250254127","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB11",250253603,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB11:250253603","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1105",250254128,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1105:250254128","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1108",250254129,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1108:250254129","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1109",250254130,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1109:250254130","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB111",250253664,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB111:250253664","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1116",250254132,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1116:250254132","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1120",250254133,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1120:250254133","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1131",250254134,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1131:250254134","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1135",250254135,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1135:250254135","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1142",250254136,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1142:250254136","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1143",250254137,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1143:250254137","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1148",250254138,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1148:250254138","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB115",250253665,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB115:250253665","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1156",250254139,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1156:250254139","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1164",250254140,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1164:250254140","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1168",250254141,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1168:250254141","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB117",250253666,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB117:250253666","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB119",250253667,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB119:250253667","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1199",250254142,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1199:250254142","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB12",250253604,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB12:250253604","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB120",250253668,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB120:250253668","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1200",250254143,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1200:250254143","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB121",250253669,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB121:250253669","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1212",250254144,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1212:250254144","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1215",250254145,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1215:250254145","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1218",250254146,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1218:250254146","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1221",250254147,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1221:250254147","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1222",250254148,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1222:250254148","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1224",250254149,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1224:250254149","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1227",250254150,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1227:250254150","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1228",250254151,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1228:250254151","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB123",250253670,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB123:250253670","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1231",250254152,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1231:250254152","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1232",250254153,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1232:250254153","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1234",250254154,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1234:250254154","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1237",250254155,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1237:250254155","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1238",250254156,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1238:250254156","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1240",250254157,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1240:250254157","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1241",250254158,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1241:250254158","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1242",250254159,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1242:250254159","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1243",250254160,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1243:250254160","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1244",250254161,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1244:250254161","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1245",250254162,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1245:250254162","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1246",250254163,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1246:250254163","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1248",250254165,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1248:250254165","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1249",250254166,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1249:250254166","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1253",250254167,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1253:250254167","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1254",250254168,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1254:250254168","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1255",250254169,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1255:250254169","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1257",250254170,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1257:250254170","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1258",250254171,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1258:250254171","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB126",250253671,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB126:250253671","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1260",250254172,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1260:250254172","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1262",250254173,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1262:250254173","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1263",250254174,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1263:250254174","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1264",250254175,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1264:250254175","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1266",250254176,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1266:250254176","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1267",250254177,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1267:250254177","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1268",250254178,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1268:250254178","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1269",250254179,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1269:250254179","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB127",250253672,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB127:250253672","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1272",250254180,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1272:250254180","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1273",250254182,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1273:250254182","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1274",250254183,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1274:250254183","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1275",250254184,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1275:250254184","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1276",250254185,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1276:250254185","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1277",250254186,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1277:250254186","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1278",250254187,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1278:250254187","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1279",250254188,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1279:250254188","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB128",250253673,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB128:250253673","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1280",250254189,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1280:250254189","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1282",250254190,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1282:250254190","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1283",250254191,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1283:250254191","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1284",250254192,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1284:250254192","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1286",250254193,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1286:250254193","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1289",250254194,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1289:250254194","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1291",250254195,450018268,"BreedersLandraces","IITA_LR_005",NA,"TMEB1291:250254195","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1294",250254227,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1294:250254227","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1295",250254228,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1295:250254228","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1296",250254230,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1296:250254230","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1298",250254231,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1298:250254231","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1299",250254233,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1299:250254233","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB13",250253605,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB13:250253605","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB130",250253674,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB130:250253674","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1303",250254234,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1303:250254234","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1304",250254235,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1304:250254235","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1305",250254236,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1305:250254236","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1309",250254237,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1309:250254237","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB131",250253675,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB131:250253675","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1310",250254238,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1310:250254238","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1314",250254239,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1314:250254239","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1315",250254240,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1315:250254240","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB1317",250254241,450018269,"BreedersLandraces","IITA_LR_006",NA,"TMEB1317:250254241","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"TMEB132",250253676,450018264,"BreedersLandraces","IITA_LR_001",NA,"TMEB132:250253676","cassavaGBSkey_20160607","BreedersLandraces","IITA"
